	NNTYPE	KOD1	POW1	KAT1	ODL1	KOD2	POW2	KAT2	KOD3	KOD4	KAT4	KOD5	WYJSCIE
reiz1_a1211	TRAIN	14	30	175	43	16	-1	-1	16	16	-1	16	piesc
reiz1_a1212	TRAIN	14	4	180	36	16	-1	-1	16	16	-1	16	piesc
reiz1_a1213	TRAIN	14	42	177	39	16	-1	-1	16	16	-1	16	piesc
reiz1_a1214	TRAIN	14	36	179	39	16	-1	-1	16	16	-1	16	piesc
reiz1_a1215	TRAIN	14	48	177	39	16	-1	-1	16	16	-1	16	piesc
reiz1_a1216	TRAIN	14	28	179	42	16	-1	-1	16	16	-1	16	piesc
reiz1_a1217	TRAIN	14	31	175	48	16	-1	-1	16	16	-1	16	piesc
reiz1_a1218	TRAIN	14	28	175	49	16	-1	-1	16	16	-1	16	piesc
reiz1_a1219	TRAIN	14	22	176	48	16	-1	-1	16	16	-1	16	piesc
reiz1_a1220	TRAIN	14	63	176	41	16	-1	-1	16	16	-1	16	piesc
reiz1_a1221	TRAIN	14	8	174	48	16	-1	-1	16	16	-1	16	piesc
reiz1_b1685	TRAIN	9	45	174	68	16	-1	-1	16	16	-1	16	reka
reiz1_b1686	TRAIN	9	39	175	69	16	-1	-1	16	16	-1	16	reka
reiz1_b1687	TRAIN	9	37	177	68	16	-1	-1	16	16	-1	16	reka
reiz1_b1688	TRAIN	9	35	177	68	16	-1	-1	16	16	-1	16	reka
reiz1_b1689	TRAIN	9	37	177	68	16	-1	-1	16	16	-1	16	reka
reiz1_b1690	TRAIN	9	34	177	68	16	-1	-1	16	16	-1	16	reka
reiz1_b1691	TRAIN	9	33	178	68	16	-1	-1	16	16	-1	16	reka
reiz1_b1692	TRAIN	9	34	181	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1693	TRAIN	9	41	182	64	16	-1	-1	16	16	-1	16	reka
reiz1_b1694	TRAIN	9	44	182	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1695	TRAIN	9	43	183	64	16	-1	-1	16	16	-1	16	reka
reiz1_b1696	TRAIN	9	30	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1697	TRAIN	9	29	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1698	TRAIN	9	27	183	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1699	TRAIN	9	17	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1700	TRAIN	9	40	183	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1701	TRAIN	9	26	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1702	TRAIN	9	29	184	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1703	TRAIN	9	22	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1704	TRAIN	9	29	184	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1705	TRAIN	9	35	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1706	TRAIN	9	29	183	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1707	TRAIN	9	43	184	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1708	TRAIN	9	44	184	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1709	TRAIN	9	32	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1710	TRAIN	9	33	184	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1711	TRAIN	9	31	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1712	TRAIN	9	36	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1713	TRAIN	9	27	184	64	16	-1	-1	16	16	-1	16	reka
reiz1_b1714	TRAIN	9	32	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1715	TRAIN	9	34	185	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1716	TRAIN	9	31	184	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1717	TRAIN	9	33	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1718	TRAIN	9	52	184	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1719	TRAIN	9	39	183	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1720	TRAIN	9	39	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1721	TRAIN	9	33	183	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1722	TRAIN	9	39	184	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1723	TRAIN	9	43	183	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1724	TRAIN	9	33	183	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1725	TRAIN	9	35	184	61	16	-1	-1	16	16	-1	16	reka
reiz1_b1726	TRAIN	9	30	184	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1727	TRAIN	9	34	184	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1728	TRAIN	9	46	183	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1729	TRAIN	9	31	183	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1730	TRAIN	9	34	183	61	16	-1	-1	16	16	-1	16	reka
reiz1_b1731	TRAIN	9	30	184	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1732	TRAIN	9	37	183	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1733	TRAIN	9	45	183	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1734	TRAIN	9	41	183	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1735	TRAIN	9	53	182	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1736	TRAIN	9	43	183	61	16	-1	-1	16	16	-1	16	reka
reiz1_b1737	TRAIN	9	52	182	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1738	TRAIN	9	41	182	61	16	-1	-1	16	16	-1	16	reka
reiz1_b1739	TRAIN	9	44	183	61	16	-1	-1	16	16	-1	16	reka
reiz1_b1740	TRAIN	9	42	181	61	16	-1	-1	16	16	-1	16	reka
reiz1_b1741	TRAIN	9	41	181	61	16	-1	-1	16	16	-1	16	reka
reiz1_b1742	TRAIN	9	44	181	61	16	-1	-1	16	16	-1	16	reka
reiz1_b1743	TRAIN	9	37	181	60	16	-1	-1	16	16	-1	16	reka
reiz1_b1744	TRAIN	9	34	180	60	16	-1	-1	16	16	-1	16	reka
reiz1_b1745	TRAIN	9	55	180	59	16	-1	-1	16	16	-1	16	reka
reiz1_b1746	TRAIN	9	49	178	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1747	TRAIN	9	25	177	61	16	-1	-1	16	16	-1	16	reka
reiz1_b1748	TRAIN	9	54	177	60	16	-1	-1	16	16	-1	16	reka
reiz1_b1749	TRAIN	14	3	174	55	9	40	175	16	16	-1	16	reka
reiz1_b1750	TRAIN	9	45	173	68	16	-1	-1	16	16	-1	16	reka
reiz1_b1751	TRAIN	9	29	174	67	16	-1	-1	16	16	-1	16	reka
reiz1_b1752	TRAIN	9	44	173	67	16	-1	-1	16	16	-1	16	reka
reiz1_b1753	TRAIN	9	18	172	68	16	-1	-1	16	16	-1	16	reka
reiz1_b1754	TRAIN	9	32	172	67	16	-1	-1	16	16	-1	16	reka
reiz1_b1755	TRAIN	9	24	172	67	16	-1	-1	16	16	-1	16	reka
reiz1_b1756	TRAIN	9	34	171	68	16	-1	-1	16	16	-1	16	reka
reiz1_b1757	TRAIN	9	13	173	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1758	TRAIN	9	38	173	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1759	TRAIN	9	35	168	67	16	-1	-1	16	16	-1	16	reka
reiz1_b1760	TRAIN	9	32	172	61	16	-1	-1	16	16	-1	16	reka
reiz1_b1761	TRAIN	9	28	173	58	16	-1	-1	16	16	-1	16	reka
reiz1_b1762	TRAIN	9	16	167	64	16	-1	-1	16	16	-1	16	reka
reiz1_b1763	TRAIN	14	2	170	55	9	22	173	16	16	-1	16	reka
reiz1_b1764	TRAIN	14	1	171	55	9	28	173	16	16	-1	16	reka
reiz1_b1765	TRAIN	9	31	174	58	16	-1	-1	16	16	-1	16	reka
reiz1_b1766	TRAIN	9	23	174	58	16	-1	-1	16	16	-1	16	reka
reiz1_b1767	TRAIN	9	29	173	59	16	-1	-1	16	16	-1	16	reka
reiz1_b1768	TRAIN	9	12	169	63	16	-1	-1	16	16	-1	16	reka
reiz1_b1769	TRAIN	9	27	173	62	16	-1	-1	16	16	-1	16	reka
reiz1_b1770	TRAIN	9	34	170	66	16	-1	-1	16	16	-1	16	reka
reiz1_b1771	TRAIN	14	1	169	54	9	38	171	16	16	-1	16	reka
reiz1_b1772	TRAIN	14	2	171	53	9	28	172	16	16	-1	16	reka
reiz1_b1773	TRAIN	9	38	172	67	16	-1	-1	16	16	-1	16	reka
reiz1_b1774	TRAIN	14	1	171	57	9	35	173	16	16	-1	16	reka
reiz1_b1775	TRAIN	14	1	173	55	9	37	173	16	16	-1	16	reka
reiz1_b1776	TRAIN	9	48	175	60	16	-1	-1	16	16	-1	16	reka
reiz1_l12210	TRAIN	1	6	137	43	16	-1	-1	16	16	-1	16	l1
reiz1_l12211	TRAIN	1	4	138	40	16	-1	-1	16	16	-1	16	l1
reiz1_l12212	TRAIN	1	2	141	40	16	-1	-1	16	16	-1	16	l1
reiz1_l12213	TRAIN	16	-1	-1	-1	16	-1	-1	16	16	-1	16	l1
reiz1_l12214	TRAIN	1	5	146	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12215	TRAIN	1	4	148	46	16	-1	-1	16	16	-1	16	l1
reiz1_l12216	TRAIN	1	6	151	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12217	TRAIN	1	5	155	57	16	-1	-1	16	16	-1	16	l1
reiz1_l12218	TRAIN	3	1	2	23	1	7	151	16	16	-1	16	l1
reiz1_l12219	TRAIN	1	38	156	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12220	TRAIN	1	22	157	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12221	TRAIN	1	32	158	51	16	-1	-1	16	16	-1	16	l1
reiz1_l12222	TRAIN	1	28	157	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12223	TRAIN	1	12	159	44	16	-1	-1	16	16	-1	16	l1
reiz1_l12224	TRAIN	1	25	159	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12225	TRAIN	1	36	162	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12226	TRAIN	1	18	160	44	16	-1	-1	16	16	-1	16	l1
reiz1_l12227	TRAIN	1	39	161	46	16	-1	-1	16	16	-1	16	l1
reiz1_l12228	TRAIN	1	39	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12229	TRAIN	1	11	162	43	16	-1	-1	16	16	-1	16	l1
reiz1_l12230	TRAIN	1	29	162	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12231	TRAIN	1	39	162	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12232	TRAIN	1	25	162	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12233	TRAIN	1	33	163	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12234	TRAIN	1	32	162	46	16	-1	-1	16	16	-1	16	l1
reiz1_l12235	TRAIN	1	7	159	43	16	-1	-1	16	16	-1	16	l1
reiz1_l12236	TRAIN	1	25	162	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12237	TRAIN	1	48	162	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12238	TRAIN	1	50	163	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12239	TRAIN	1	46	162	50	16	-1	-1	16	16	-1	16	l1
reiz1_l12240	TRAIN	1	47	159	41	16	-1	-1	16	16	-1	16	l1
reiz1_l12241	TRAIN	1	3	165	56	1	15	161	16	16	-1	16	l1
reiz1_l12242	TRAIN	1	62	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12243	TRAIN	1	38	163	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12244	TRAIN	1	28	162	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12245	TRAIN	1	59	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12246	TRAIN	1	38	163	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12247	TRAIN	1	32	164	50	16	-1	-1	16	16	-1	16	l1
reiz1_l12248	TRAIN	1	47	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12249	TRAIN	1	41	165	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12250	TRAIN	1	36	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12251	TRAIN	1	53	165	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12252	TRAIN	1	28	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12253	TRAIN	1	13	162	43	16	-1	-1	16	16	-1	16	l1
reiz1_l12254	TRAIN	1	45	163	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12255	TRAIN	1	59	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12256	TRAIN	1	62	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12257	TRAIN	1	61	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12258	TRAIN	1	49	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12259	TRAIN	1	62	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12260	TRAIN	1	48	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12261	TRAIN	1	29	164	46	16	-1	-1	16	16	-1	16	l1
reiz1_l12262	TRAIN	1	55	164	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12263	TRAIN	1	46	163	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12264	TRAIN	1	48	163	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12265	TRAIN	1	43	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12266	TRAIN	1	46	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12267	TRAIN	1	41	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12268	TRAIN	1	53	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12269	TRAIN	1	54	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12270	TRAIN	1	35	164	46	16	-1	-1	16	16	-1	16	l1
reiz1_l12271	TRAIN	1	65	166	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12272	TRAIN	1	34	163	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12273	TRAIN	1	46	163	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12274	TRAIN	1	55	165	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12275	TRAIN	1	34	163	45	16	-1	-1	16	16	-1	16	l1
reiz1_l12276	TRAIN	1	21	162	45	16	-1	-1	16	16	-1	16	l1
reiz1_l12277	TRAIN	1	56	164	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12278	TRAIN	1	49	163	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12279	TRAIN	1	61	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12280	TRAIN	1	22	163	44	16	-1	-1	16	16	-1	16	l1
reiz1_l12281	TRAIN	1	78	165	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12282	TRAIN	1	34	165	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12283	TRAIN	1	65	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12284	TRAIN	1	37	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12285	TRAIN	1	37	164	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12286	TRAIN	1	38	164	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12287	TRAIN	1	60	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12288	TRAIN	1	49	163	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12289	TRAIN	1	72	165	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12290	TRAIN	1	20	164	43	16	-1	-1	16	16	-1	16	l1
reiz1_l12291	TRAIN	1	69	165	47	16	-1	-1	16	16	-1	16	l1
reiz1_l12292	TRAIN	1	75	164	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12293	TRAIN	1	45	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12294	TRAIN	1	60	163	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12295	TRAIN	1	59	162	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12296	TRAIN	1	63	162	48	16	-1	-1	16	16	-1	16	l1
reiz1_l12297	TRAIN	1	58	160	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12298	TRAIN	1	59	158	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12299	TRAIN	1	60	158	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12300	TRAIN	1	44	156	49	16	-1	-1	16	16	-1	16	l1
reiz1_l12301	TRAIN	1	53	157	48	16	-1	-1	16	16	-1	16	l1
reiz1_l22890	TRAIN	2	14	131	40	1	24	174	16	16	-1	16	l2
reiz1_l22891	TRAIN	2	6	132	39	1	13	174	16	16	-1	16	l2
reiz1_l22892	TRAIN	2	8	134	40	1	34	177	16	16	-1	16	l2
reiz1_l22893	TRAIN	2	16	137	43	1	28	179	16	16	-1	16	l2
reiz1_l22894	TRAIN	1	33	180	42	1	9	135	16	16	-1	16	l2
reiz1_l22895	TRAIN	2	13	139	43	1	29	180	16	16	-1	16	l2
reiz1_l22896	TRAIN	1	24	182	46	1	2	137	16	16	-1	16	l2
reiz1_l22897	TRAIN	1	50	184	43	1	13	138	16	16	-1	16	l2
reiz1_l22898	TRAIN	1	29	185	45	1	8	141	16	16	-1	16	l2
reiz1_l22899	TRAIN	1	37	188	44	1	17	142	16	16	-1	16	l2
reiz1_l22900	TRAIN	1	23	188	48	1	11	142	16	16	-1	16	l2
reiz1_l22901	TRAIN	1	11	188	42	1	12	143	16	16	-1	16	l2
reiz1_l22902	TRAIN	1	27	191	46	1	20	144	16	16	-1	16	l2
reiz1_l22903	TRAIN	1	22	191	43	1	18	143	16	16	-1	16	l2
reiz1_l22904	TRAIN	2	8	148	45	1	37	192	16	16	-1	16	l2
reiz1_l22905	TRAIN	1	37	192	45	1	26	144	16	16	-1	16	l2
reiz1_l22906	TRAIN	1	24	191	44	1	25	144	16	16	-1	16	l2
reiz1_l22907	TRAIN	1	39	191	45	1	14	145	16	16	-1	16	l2
reiz1_l22908	TRAIN	1	32	192	45	1	24	145	16	16	-1	16	l2
reiz1_l22909	TRAIN	1	14	191	43	1	10	145	16	16	-1	16	l2
reiz1_l22910	TRAIN	1	7	190	45	1	30	145	16	16	-1	16	l2
reiz1_l22911	TRAIN	1	38	192	45	1	25	145	16	16	-1	16	l2
reiz1_l22912	TRAIN	1	24	191	46	1	21	145	16	16	-1	16	l2
reiz1_l22913	TRAIN	1	19	191	44	1	34	146	16	16	-1	16	l2
reiz1_l22914	TRAIN	2	12	147	43	1	16	192	16	16	-1	16	l2
reiz1_l22915	TRAIN	1	31	191	46	1	12	145	16	16	-1	16	l2
reiz1_l22916	TRAIN	1	23	190	45	1	20	145	16	16	-1	16	l2
reiz1_l22917	TRAIN	1	37	191	46	1	3	144	16	16	-1	16	l2
reiz1_l22918	TRAIN	1	8	191	51	1	15	145	16	16	-1	16	l2
reiz1_l22919	TRAIN	1	25	191	46	1	34	146	16	16	-1	16	l2
reiz1_l22920	TRAIN	1	23	192	45	1	18	146	16	16	-1	16	l2
reiz1_l22921	TRAIN	1	35	191	46	1	21	146	16	16	-1	16	l2
reiz1_l22922	TRAIN	1	31	193	46	1	26	145	16	16	-1	16	l2
reiz1_l22923	TRAIN	1	27	191	46	1	32	145	16	16	-1	16	l2
reiz1_l22924	TRAIN	1	26	192	45	1	28	145	16	16	-1	16	l2
reiz1_l22925	TRAIN	1	33	192	45	1	22	144	16	16	-1	16	l2
reiz1_l22926	TRAIN	1	30	191	45	1	17	145	16	16	-1	16	l2
reiz1_l22927	TRAIN	1	23	191	44	1	15	146	16	16	-1	16	l2
reiz1_l22928	TRAIN	1	7	190	42	1	25	144	16	16	-1	16	l2
reiz1_l22929	TRAIN	1	33	193	46	1	23	145	16	16	-1	16	l2
reiz1_l22930	TRAIN	1	11	191	40	1	13	146	16	16	-1	16	l2
reiz1_l22931	TRAIN	1	10	191	43	1	6	146	16	16	-1	16	l2
reiz1_l22932	TRAIN	1	36	192	45	1	26	144	16	16	-1	16	l2
reiz1_l22933	TRAIN	1	23	190	45	1	28	145	16	16	-1	16	l2
reiz1_l22934	TRAIN	1	25	191	43	1	27	144	16	16	-1	16	l2
reiz1_l22935	TRAIN	1	38	190	45	1	17	144	16	16	-1	16	l2
